id,job_title,location,connection,fit,job_title_cleaned,role_level,location_cleaned,connections_numeric,connections_log,bert_similarity
25,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,student humber colleg aspir human resourc generalist,intern,Canada,61,4.127134385045092,0.72907543
26,HR Senior Specialist,San Francisco Bay Area,500+ ,,human resourc senior specialist,senior,"San Francisco, CA",550,6.311734809152915,0.78396237
27,Aspiring Human Resources Management student seeking an internship,"Houston, Texas Area",500+ ,,aspir human resourc manag student seek internship,intern,"Houston, TX",550,6.311734809152915,0.76189226
28,Seeking Human Resources Opportunities,"Chicago, Illinois",390,,seek human resourc opportun,junior,"Chicago, IL",390,5.968707559985366,0.70538497
29,Aspiring Human Resources Management student seeking an internship,"Houston, Texas Area",500+ ,,aspir human resourc manag student seek internship,intern,"Houston, TX",550,6.311734809152915,0.76189226
30,Seeking Human Resources Opportunities,"Chicago, Illinois",390,,seek human resourc opportun,junior,"Chicago, IL",390,5.968707559985366,0.70538497
31,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,bauer colleg busi graduat magna cum laud aspir human resourc profession,mid,"Houston, Texas",85,4.454347296253507,0.59503645
32,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,,nativ english teacher epik english program korea,junior,Canada,550,6.311734809152915,0.5543839
33,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,aspir human resourc profession,mid,"Raleigh, NC",44,3.8066624897703196,0.85062605
34,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,peopl develop coordin ryan,mid,"Denton, TX",550,6.311734809152915,0.68716794
35,Advisory Board Member at Celal Bayar University,"İzmir, Türkiye",500+ ,,advisori board member celal bayar univers,mid,"İzmir, Türkiye",550,6.311734809152915,0.5685573
36,Aspiring Human Resources Specialist,Greater New York City Area,1,,aspir human resourc specialist,mid,"New York, NY",1,0.6931471805599453,0.9397048
37,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,student humber colleg aspir human resourc generalist,intern,Canada,61,4.127134385045092,0.72907543
38,HR Senior Specialist,San Francisco Bay Area,500+ ,,human resourc senior specialist,senior,"San Francisco, CA",550,6.311734809152915,0.78396237
39,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,student humber colleg aspir human resourc generalist,intern,Canada,61,4.127134385045092,0.72907543
40,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,,seek human resourc human resourc inform system generalist posit,junior,"Philadelphia, PA",550,6.311734809152915,0.7520538
41,Student at Chapman University,"Lake Forest, California",2,,student chapman univers,intern,"Lake Forest, CA",2,1.0986122886681098,0.4469733
42,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,,senior vice presid chief human resourc offic market commun csr offic engi houston woodland energi gphr sphr,executive,"Houston, TX",550,6.311734809152915,0.7468645
43,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,,human resourc coordin intercontinent buckhead atlanta,mid,"Atlanta, GA",550,6.311734809152915,0.79502165
44,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,bauer colleg busi graduat magna cum laud aspir human resourc profession,mid,"Houston, Texas",85,4.454347296253507,0.59503645
45,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,,nativ english teacher epik english program korea,junior,Canada,550,6.311734809152915,0.5543839
46,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,aspir human resourc profession,mid,"Raleigh, NC",44,3.8066624897703196,0.85062605
47,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,peopl develop coordin ryan,mid,"Denton, TX",550,6.311734809152915,0.68716794
48,Advisory Board Member at Celal Bayar University,"İzmir, Türkiye",500+ ,,advisori board member celal bayar univers,mid,"İzmir, Türkiye",550,6.311734809152915,0.5685573
49,Aspiring Human Resources Specialist,Greater New York City Area,1,,aspir human resourc specialist,mid,"New York, NY",1,0.6931471805599453,0.9397048
50,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,student humber colleg aspir human resourc generalist,intern,Canada,61,4.127134385045092,0.72907543
51,HR Senior Specialist,San Francisco Bay Area,500+ ,,human resourc senior specialist,senior,"San Francisco, CA",550,6.311734809152915,0.78396237
52,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,student humber colleg aspir human resourc generalist,intern,Canada,61,4.127134385045092,0.72907543
53,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,,seek human resourc human resourc inform system generalist posit,junior,"Philadelphia, PA",550,6.311734809152915,0.7520538
54,Student at Chapman University,"Lake Forest, California",2,,student chapman univers,intern,"Lake Forest, CA",2,1.0986122886681098,0.4469733
55,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,,senior vice presid chief human resourc offic market commun csr offic engi houston woodland energi gphr sphr,executive,"Houston, TX",550,6.311734809152915,0.7468645
56,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,,human resourc coordin intercontinent buckhead atlanta,mid,"Atlanta, GA",550,6.311734809152915,0.79502165
57,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,bauer colleg busi graduat magna cum laud aspir human resourc profession,mid,"Houston, Texas",85,4.454347296253507,0.59503645
58,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,aspir human resourc profession,mid,"Raleigh, NC",44,3.8066624897703196,0.85062605
59,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,peopl develop coordin ryan,mid,"Denton, TX",550,6.311734809152915,0.68716794
60,Aspiring Human Resources Specialist,Greater New York City Area,1,,aspir human resourc specialist,mid,"New York, NY",1,0.6931471805599453,0.9397048
61,HR Senior Specialist,San Francisco Bay Area,500+ ,,human resourc senior specialist,senior,"San Francisco, CA",550,6.311734809152915,0.78396237
62,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,,seek human resourc human resourc inform system generalist posit,junior,"Philadelphia, PA",550,6.311734809152915,0.7520538
63,Student at Chapman University,"Lake Forest, California",2,,student chapman univers,intern,"Lake Forest, CA",2,1.0986122886681098,0.4469733
64,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,,senior vice presid chief human resourc offic market commun csr offic engi houston woodland energi gphr sphr,executive,"Houston, TX",550,6.311734809152915,0.7468645
65,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,,human resourc coordin intercontinent buckhead atlanta,mid,"Atlanta, GA",550,6.311734809152915,0.79502165
66,Experienced Retail Manager and aspiring Human Resources Professional,"Austin, Texas Area",57,,experienc retail manag aspir human resourc profession,mid,"Austin, TX",57,4.060443010546419,0.79943055
67,"Human Resources, Staffing and Recruiting Professional","Jackson, Mississippi Area",500+ ,,human resourc staf recruit profession,mid,"Jackson, MS",550,6.311734809152915,0.7185905
68,Human Resources Specialist at Luxottica,Greater New York City Area,500+ ,,human resourc specialist luxottica,mid,"New York, NY",550,6.311734809152915,0.83770436
69,"Director of Human Resources North America, Groupe Beneteau","Greater Grand Rapids, Michigan Area",500+ ,,director human resourc north america group beneteau,executive,"Grand Rapids, MI",550,6.311734809152915,0.75637865
70,"Retired Army National Guard Recruiter, office manager,  seeking a position in Human Resources.","Virginia Beach, Virginia",82,,retir armi nation guard recruit offic manag seek posit human resourc,mid,"Virginia Beach, VA",82,4.418840607796598,0.66111857
71,"Human Resources Generalist at ScottMadden, Inc.","Raleigh-Durham, North Carolina Area",500+ ,,human resourc generalist scottmadden inc,junior,"Raleigh, NC",550,6.311734809152915,0.7573035
72,Business Management Major and Aspiring Human Resources Manager,"Monroe, Louisiana Area",5,,busi manag major aspir human resourc manag,mid,"Monroe, LA",5,1.791759469228055,0.79465
73,"Aspiring Human Resources Manager, seeking internship in Human Resources.","Houston, Texas Area",7,,aspir human resourc manag seek internship human resourc,mid,"Houston, TX",7,2.0794415416798357,0.7842126
74,Human Resources Professional,Greater Boston Area,16,,human resourc profession,mid,"Boston, MA",16,2.833213344056216,0.76266456
75,"Nortia Staffing is seeking Human Resources, Payroll & Administrative Professionals!!  (408) 709-2621","San Jose, California",500+ ,,nortia staf seek human resourc payrol administr profession,mid,"San Jose, CA",550,6.311734809152915,0.7060994
76,Aspiring Human Resources Professional | Passionate about helping to create an inclusive and engaging work environment,"New York, New York",212,,aspir human resourc profession passion help creat inclus engag work environ,mid,"New York, NY",212,5.3612921657094255,0.7426485
77,"Human Resources|
Conflict Management|
Policies & Procedures|Talent Management|Benefits & Compensation",Dallas/Fort Worth Area,409,,human resourc conflict manag polici procedur talent manag benefit compens,junior,"Dallas, TX",409,6.016157159698354,0.67524654
78,Human Resources Generalist at Schwan's,Amerika Birleşik Devletleri,500+ ,,human resourc generalist schwan,junior,United States,550,6.311734809152915,0.7217762
79,Liberal Arts Major. Aspiring Human Resources Analyst.,"Baton Rouge, Louisiana Area",7,,liber art major aspir human resourc analyst,mid,"Baton Rouge, LA",7,2.0794415416798357,0.8208533
80,Junior MES Engineer| Information Systems,"Myrtle Beach, South Carolina Area",52,,junior me engin inform system,junior,"Myrtle Beach, SC",52,3.970291913552122,0.61769104
81,Senior Human Resources Business Partner at Heil Environmental,"Chattanooga, Tennessee Area",455,,senior human resourc busi partner heil environment,senior,"Chattanooga, TN",455,6.1224928095143865,0.78536665
82,Aspiring Human Resources Professional | An energetic and Team-Focused Leader,"Austin, Texas Area",174,,aspir human resourc profession energet team focus leader,senior,"Austin, TX",174,5.1647859739235145,0.8266382
83,HR Manager at Endemol Shine North America,"Los Angeles, California",268,,human resourc manag endemol shine north america,mid,"Los Angeles, CA",268,5.594711379601839,0.7803966
84,Human Resources professional for the world leader in GIS software,"Highland, California",50,,human resourc profession world leader gi softwar,senior,"Highland, CA",50,3.9318256327243257,0.758899
85,RRP Brand Portfolio Executive at JTI (Japan Tobacco International),Greater Philadelphia Area,500+ ,,rrp brand portfolio execut jti japan tobacco intern,intern,"Philadelphia, PA",550,6.311734809152915,0.6705807
86,Information Systems Specialist and Programmer with a love for data and organization.,"Gaithersburg, Maryland",4,,inform system specialist programm love data organ,mid,"Gaithersburg, MD",4,1.6094379124341003,0.6224495
87,Bachelor of Science in Biology from Victoria University of Wellington,"Baltimore, Maryland",40,,bachelor scienc biolog victoria univers wellington,executive,"Baltimore, MD",40,3.713572066704308,0.57401526
88,Human Resources Management Major,"Milpitas, California",18,,human resourc manag major,junior,"Milpitas, CA",18,2.9444389791664403,0.81160736
89,Director Human Resources  at EY,Greater Atlanta Area,349,,director human resourc ey,executive,"Atlanta, GA",349,5.857933154483459,0.7696576
90,Undergraduate Research Assistant at Styczynski Lab,Greater Atlanta Area,155,,undergradu research assist styczynski lab,junior,"Atlanta, GA",155,5.049856007249537,0.54296184
91,Lead Official at Western Illinois University,Greater Chicago Area,39,,lead offici western illinoi univers,senior,"Chicago, IL",39,3.6888794541139363,0.541538
92,Seeking employment opportunities within Customer Service or Patient Care,"Torrance, California",64,,seek employ opportun within custom servic patient care,junior,"Torrance, CA",64,4.174387269895637,0.67500675
93,Admissions Representative at Community medical center long beach,"Long Beach, California",9,,admiss repres commun medic center long beach,junior,"Long Beach, CA",9,2.302585092994046,0.69119763
94,Seeking Human  Resources Opportunities. Open to travel and relocation.,Amerika Birleşik Devletleri,415,,seek human resourc opportun open travel reloc,junior,United States,415,6.030685260261263,0.70675325
95,Student at Westfield State University,"Bridgewater, Massachusetts",57,,student westfield state univers,intern,"Bridgewater, MA",57,4.060443010546419,0.4648878
96,"Student at Indiana University Kokomo - Business Management - 
Retail Manager at Delphi Hardware and Paint","Lafayette, Indiana",19,,student indiana univers kokomo busi manag retail manag delphi hardwar paint,mid,"Lafayette, IN",19,2.995732273553991,0.55894035
97,Aspiring Human Resources Professional,"Kokomo, Indiana Area",71,,aspir human resourc profession,mid,"Kokomo, IN",71,4.276666119016055,0.85062605
98,Student,"Houston, Texas Area",4,,student,intern,"Houston, TX",4,1.6094379124341003,0.39449155
99,Seeking Human Resources Position,"Las Vegas, Nevada Area",48,,seek human resourc posit,junior,"Las Vegas, NV",48,3.8918202981106265,0.7978475
100,Aspiring Human Resources Manager | Graduating May 2020 | Seeking an Entry-Level Human Resources Position in St. Louis,"Cape Girardeau, Missouri",103,,aspir human resourc manag graduat may seek entri level human resourc posit st loui,mid,"Cape Girardeau, MO",103,4.6443908991413725,0.74549234
101,Human Resources Generalist at Loparex,"Raleigh-Durham, North Carolina Area",500+ ,,human resourc generalist loparex,junior,"Raleigh, NC",550,6.311734809152915,0.7975513
102,Business Intelligence and Analytics at Travelers,Greater New York City Area,49,,busi intellig analyt travel,junior,"New York, NY",49,3.912023005428146,0.6037015
103,Always set them up for Success,Greater Los Angeles Area,500+ ,,alway set success,junior,"Los Angeles, CA",550,6.311734809152915,0.49019694
104,Director Of Administration at Excellence Logging,"Katy, Texas",500+ ,,director administr excel log,executive,"Katy, TX",550,6.311734809152915,0.62274194
